,0.75
0,0.05910133630362635
1,0.055662236241930785
2,0.05206739073561051
3,0.03586576849476775
4,0.04953293944032533
5,0.03333809876853855
6,0.07213576037195202
7,0.04503276657265798
8,0.13116539045504405
9,0.03491815079691374
10,0.12987813742581333
11,0.07600774476141359
12,0.0496845277139486
13,0.0447006277015769
14,0.041256009774830016
15,0.030281805070240586
16,0.04047486320663185
17,0.024143150401402136
18,0.06116419081647395
19,0.03804042069245339
20,0.12079406845087137
21,0.030615838853735533
22,0.1194117791247058
23,0.06623443958432707
24,0.03124669178185213
25,0.027301248215804708
26,0.02266686038461163
27,0.022288391633684013
28,0.024880396067967103
29,0.013638297128860777
30,0.04063239074724434
31,0.025847757832380802
32,0.0926420767813958
33,0.019124781872357666
34,0.0905703875620365
35,0.043815601393710546
