,0.5
0,0.057150815356317164
1,0.06432112521090794
2,0.03412743697064835
3,0.054223166416104585
4,0.049819820184646146
5,0.020757215351483893
6,0.05671486657023139
7,0.03823369545997357
8,0.029230088134040155
9,0.047925589310744865
10,0.027687532703552842
11,0.041474370795931526
12,0.24939398823437608
13,0.2705708944602927
14,0.18181865005649578
15,0.23976248165760783
16,0.22277063199938563
17,0.14798293067865298
18,0.2490984221768886
19,0.21511713770837138
20,0.19694741751077482
21,0.21486435575492957
22,0.19032836597286074
23,0.2012371310201353
24,0.12296906530527285
25,0.13566296645047593
26,0.08060112458197177
27,0.11694207726418848
28,0.10845585462579721
29,0.05669012582064359
30,0.12256820427242177
31,0.09493930142139795
32,0.08071384931243908
33,0.10357822048331267
34,0.07599689053366199
35,0.09383633442172956
36,0.13031697753490268
37,0.14453415747391907
38,0.08933426767346941
39,0.12478700919091745
40,0.1162600426435193
41,0.06648813535802911
42,0.1292435446218977
43,0.10496911555304023
44,0.09086989676047152
45,0.11036830749245219
46,0.08372167554872068
47,0.10093108096100356
