,0.5
0,0.1316264397468523
1,0.14464348713063147
2,0.07975475930975029
3,0.12419072576846935
4,0.11007004501226425
5,0.0628382764496398
6,0.1382043504827064
7,0.1052946351372448
8,0.09763102945854907
9,0.10701922199893499
10,0.11149307769083106
11,0.10000093754483208
12,0.16275836136427946
13,0.18036685409417186
14,0.10731670585915531
15,0.15486692367534372
16,0.14202871648423931
17,0.07996191860757562
18,0.16555047339472373
19,0.1296141396887377
20,0.11644638442349331
21,0.1370576816938538
22,0.11895190288985524
23,0.12658649931285004
24,0.08912939952540866
25,0.1007710743878194
26,0.04793494701575263
27,0.08341609579391107
28,0.07234320985959919
29,0.03378239144335293
30,0.09399304695567279
31,0.06624273192839014
32,0.059773254406934484
33,0.07051694914982531
34,0.07136074753403876
35,0.064202875125842
