,0
0,0.013875811143214012
1,0.02553669136101755
2,0.015479510282642273
3,0.06488100570682509
4,0.04783823637680218
5,0.04176296908113453
6,0.06323557482915687
7,0.11287074576907852
8,0.09532797340631127
9,0.11267978015865254
10,0.021088692089517802
11,0.021915420028331578
12,0.04554150934221757
13,0.04154904896104816
14,0.026118486779941996
15,0.051488024358109064
16,0.10076114614779175
17,0.08110953235738738
18,0.09233737569195777
19,0.05976292116938009
20,0.017592035672280737
21,0.01661091221576083
22,0.0059436732056799
23,0.0207985667288193
24,0.04522001374071527
25,0.03468783211275972
26,0.0447795658912411
27,0.10108358589637056
28,0.07692212427808731
29,0.07495881810968874
30,0.10675637192774512
31,0.16848515698202005
32,0.1430116488954023
33,0.1551384338928734
34,0.01666010441342869
35,0.012009042179401241
36,0.005097100213903749
37,0.01856917304918304
38,0.009882476006840224
39,0.015273979620373024
40,0.027317661679937544
41,0.01767988109369889
42,0.040616285713541034
43,0.028724001330256432
44,0.037006338105770475
45,0.019725477837969074
46,0.04128987964617381
47,0.03041595506960726
48,0.038894502739279746
49,0.01643753221477917
50,0.009333210590765417
51,0.022555272604864562
52,0.002463474978018798
53,0.007258307961732546
54,0.005704284298209572
