,0.25
0,0.0936611903595288
1,0.11126080308193642
2,0.09887232949924596
3,0.10693592018237963
4,0.10877157436359342
5,0.08683439006296967
6,0.0793010520974865
7,0.10936678299150748
8,0.07338568004711565
9,0.09567637396276174
10,0.07589849344110289
11,0.06632075793164005
12,0.08165699161230788
13,0.10217084570041224
14,0.08828968657261227
15,0.09714897513437015
16,0.09713872657539646
17,0.0752083048186214
18,0.06894871819506398
19,0.09205400576591383
20,0.06284995220843792
21,0.08693381500313113
22,0.06243721276714165
23,0.0543812193394404
24,0.13387279007949315
25,0.1582364872322255
26,0.1453453593763283
27,0.15052138766836465
28,0.14533719673190348
29,0.14284100702299618
30,0.11389235445400203
31,0.13323382428859898
32,0.10313602607005357
33,0.1371534647298991
34,0.1084187914148762
35,0.0977324263804672
36,0.10162618693801662
37,0.1290154241143706
38,0.1150951343412473
39,0.11943916149924383
40,0.1126755354473552
41,0.11087733746785378
42,0.08337577918683703
43,0.0913141142992232
44,0.07241797911929027
45,0.10766117714681223
46,0.07442709268844205
47,0.06772510569417667
