,1
0,0.0014574579544184285
1,0.018712539317826793
2,0.007283377984873773
3,0.004144758600508558
4,0.0008119561781316786
5,0.0005119125880845843
6,0.014279622625272048
7,0.0069078563905041745
8,0.01477207098072042
9,0.0008935844982713714
10,0.005597426284262852
11,0.012455949106168429
12,0.0057915141584601315
13,0.008441460976210013
14,0.00039202398917392856
15,0.0015063993694210964
16,0.013787290400653518
17,0.011112802050277093
18,0.010369470713307294
19,0.0005984308815891737
20,0.0055050964496445864
21,0.005184691454591883
22,0.03362575092489262
23,0.014449736283046244
24,0.020856069788529275
25,0.008576104767906045
26,0.04073238494925324
27,0.0010520336471474545
28,0.0133185962153064
29,0.008981965540502679
30,0.01781327669585353
31,0.005971917132952531
32,0.010018384094270583
33,0.0023268436642644996
34,0.025082299116092277
35,0.00231994501344146
36,0.004813948722368289
37,0.0020136356912915376
38,0.006502097258195727
39,0.005211719287698702
40,0.02605727908296307
41,0.0014647346692084895
42,0.028165493287560572
43,0.008149175660378205
44,0.01217540058355393
45,0.0011827288286475612
46,0.013498097388417007
47,0.009409618932732844
48,0.011816756382788007
49,0.00035088653916859336
50,0.004653916389862678
51,0.018336022935741436
52,0.006733686575907671
53,0.01745202321084205
54,0.0012779986610216287
55,0.008242953619781668
56,0.036360260957489565
57,0.004630548781404786
58,0.011172213652417717
59,0.004278834719537272
60,0.03585252387273963
61,0.011642463094982736
62,0.018700391646057968
63,0.010576585959437113
64,0.005624654905577509
65,0.0041413347239271925
