,0
0,0.43744610188624744
1,0.4370236206343232
2,0.32708148229207024
3,0.529006846207432
4,0.2964084181454121
5,0.32112455139216833
6,0.3066743511056096
7,0.304571639209231
8,0.2581626647467137
9,0.2688687846032092
10,0.27226865902880615
11,0.07762370113526407
12,0.05225397536688048
13,0.027772043088837517
14,0.10842771708864318
15,0.02232839195945635
16,0.05695194353013833
17,0.011732988579224557
18,0.03619460227068816
19,0.043358005040375125
20,0.03501553668191948
21,0.03556450874827455
22,0.45540507068234437
23,0.4506003568347645
24,0.356841299506536
25,0.5350194183690204
26,0.3524409830973245
27,0.3871179371794581
28,0.3236276464167489
29,0.36807393778855735
30,0.3347735507579679
31,0.3395552000714044
32,0.35440048904180355
