,1
0,0.13552214226518178
1,0.14081785801141022
2,0.1113821800385697
3,0.09754522358123419
4,0.15183254546307468
5,0.13732228720610085
6,0.14729835728137042
7,0.07121729545381239
8,0.17763431393118134
9,0.10038729564477955
10,0.12987745933615813
11,0.09883669648743743
12,0.14873541073394048
13,0.1536297658568485
14,0.12165111229417169
15,0.10943162960630937
16,0.16463321885238946
17,0.1494665817504921
18,0.1606993430335808
19,0.08166962259244748
20,0.1910755760808448
21,0.11149465587683305
22,0.14204945014021741
23,0.10801661992048794
24,0.14354788744962854
25,0.14842656264409482
26,0.11686541887941049
27,0.10438769762447597
28,0.1600206890243927
29,0.1445801526008914
30,0.15539232925692192
31,0.07719446853877909
32,0.18614854230960787
33,0.10655052513402863
34,0.13710134271500107
35,0.10416971277921705
