,0.5
0,0.0035970431021853377
1,0.00892335605957184
2,0.0004970359070144426
3,0.0015670847450393044
4,0.02297653542062217
5,0.0007011813883708307
6,0.005128300974088895
7,0.007479242079030057
8,0.0020327951181799975
9,0.012314139724620699
10,0.003849100699823582
11,0.01583007583256235
12,0.003588866541294644
13,0.0052948130420804596
14,0.031951319413738744
15,0.004821059815017237
16,0.009910458888445106
17,0.013074103587907615
18,0.00717062337685781
19,0.019316144464919693
20,0.010634523730440826
21,0.007745925290661981
22,0.004239750313430268
23,0.004329025064113923
24,0.010314405472250598
25,0.0037958647528077982
26,0.003178484002467563
27,0.00351304753552506
28,0.007513560728960478
29,0.0019532341138258635
30,0.000952131649231136
31,0.02094860940224874
32,0.0012128568348246382
33,0.004573744048941952
34,0.006322677434843604
35,0.0014540960614135567
36,0.011721270315607657
37,0.003316592811353325
38,0.014956390230635552
39,0.0022854245452637034
40,0.0032054504576676246
41,0.004664625533091327
42,0.0004065538109409017
43,0.009220188810384222
44,0.0013289960833571257
45,0.023547791874550805
46,0.010558169605793699
47,0.007145575730817422
48,0.013917282216728388
49,0.009067002771176447
50,0.009672068142534851
51,0.005699411495453832
52,0.007951663433951817
53,0.002863253955392997
54,0.010454664146794634
55,0.004095334969299258
56,0.001115775015093079
57,0.003663524738436008
58,0.004652718973573444
59,0.003333127975404082
60,0.0046900313735663834
61,0.0034775458952159832
62,0.0036125696493901627
63,0.008883954966625085
64,0.0007225224752291926
65,0.006485320185732557
