,0.25
0,0.13394300744784604
1,0.12204999597506683
2,0.21796913620811198
3,0.1887402357472434
4,0.130643687346226
5,0.125474878544372
6,0.21799930253442157
7,0.19948142853926853
8,0.12134813255012067
9,0.11221570112874368
10,0.20414304196043942
11,0.17873948446143428
