,0.75
0,0.008447684788291165
1,0.005557446520539022
2,0.005224660625391064
3,0.008978256691665742
4,0.005891868156605473
5,0.0030973043707387404
6,0.015169069211458996
7,0.0055185521657288295
8,0.05838818347546271
9,0.007796770595388414
10,0.05656942359907302
11,0.02110293701807131
12,0.02204810872521934
13,0.015852069411405822
14,0.014207038465172572
15,0.013370421786785602
16,0.014966452490506543
17,0.004663339975198744
18,0.030424329252722093
19,0.016830111515941493
20,0.08296713025540514
21,0.01565250673494223
22,0.08153682542515983
23,0.03747170343560846
24,0.054266185544811774
25,0.046558928644143016
26,0.04553804888865276
27,0.031146844592380374
28,0.04359136739606706
29,0.024702002337826046
30,0.06842810798504995
31,0.03761666053441881
32,0.13684936281836624
33,0.03674304949735041
34,0.13567933780953112
35,0.07865146228345543
36,0.06200739664010557
37,0.05313622165251153
38,0.05281394385978344
39,0.03325274027054492
40,0.04867915453059868
41,0.02856124747764499
42,0.07556592964105091
43,0.04521007631553964
44,0.14261608614495336
45,0.042515465317176204
46,0.1424346061066486
47,0.08556559735558289
