,0.25
0,0.005828070637146743
1,0.004942948524724988
2,0.0038202034898791037
3,0.0045059148947149685
4,0.007898750908637231
5,0.005596169750265667
6,0.016314221205685264
7,0.00665665230624457
8,0.0053538095227267934
9,0.007009288653327506
10,0.009023881678095425
11,0.0019309998333310041
12,0.0012794798437096855
13,0.0034899587762873274
14,0.011946056826939389
15,0.014331067605361403
16,0.035104399357556604
17,0.01831323718398603
18,0.007654716379495552
19,0.02146302669560607
20,0.02316760360776071
21,0.0016795754395662055
22,0.003151998677702439
23,0.008047980064917803
24,0.011999977782809035
25,0.030809709995193835
26,0.015274685487722373
27,0.008279397542515166
28,0.015967193303216165
29,0.017864101458635706
30,0.001974664508735402
31,0.010701387089589565
32,0.011294107515506857
33,0.02843472947304304
34,0.014532310205166765
35,0.005959904640394975
36,0.016876208090393363
37,0.019098936780895803
38,0.014909713637058064
39,0.009265211909121218
40,0.020911656601538597
41,0.011328956350134645
42,0.007348599345351925
43,0.013679742735526856
44,0.01696281132458677
45,0.012432328631417078
46,0.03030745585111949
47,0.01605794670787264
48,0.010899950434922978
49,0.013818801662885294
50,0.015089384461184352
51,0.011837127026013028
52,0.0013236577554152085
53,0.004036132235178291
54,0.005061499478485665
55,0.0063798188022091695
56,0.009936347833386705
57,0.02156488314157623
58,0.009283164027169888
59,0.015880971401402877
60,0.008727893452390889
61,0.002454222794445071
62,0.003076247118275588
63,0.014622380779529043
64,0.01653393444916562
65,0.0012863987524279752
