,Sample,Red,Green,Blue,Merit
0,#0-D1-MAPIBr_3_1_10mM_100C_cap4-MAPbI0.75 MAPbBr0.25 MAPbCl0.0 ,29367.087833041543,29009.299379150292,9388.487135838557,67764.8743480304
1,#1-C1-MAPIBr_3_1_5mM_100C_cap1-MAPbI0.75 MAPbBr0.25 MAPbCl0.0 ,30574.642195184897,33845.18519405888,6028.8956237087905,70448.72301295257
2,#2-B1---MAPbI0.75 MAPbBr0.25 MAPbCl0.0 ,91.01422046335583,108.52077907483635,1517.987471245557,1717.522470783749
3,#3-A1-MAPIBr_3_1_10mM_75C_cap1-MAPbI0.75 MAPbBr0.25 MAPbCl0.0 ,22419.82528038857,29284.04815652228,8244.812705290044,59948.686142200895
4,#4-D2-MAPIBr_3_1_5mM_100C_cap2-MAPbI0.75 MAPbBr0.25 MAPbCl0.0 ,32721.35793538199,32845.419992261945,6051.592718332071,71618.37064597601
5,#5-C2-MAPIBr_3_1_5mM_100C_cap5-MAPbI0.75 MAPbBr0.25 MAPbCl0.0 ,31093.202098024005,29280.615936206148,10110.452813516089,70484.27084774624
6,#6-B2-MAPIBr_3_1_10mM_75C_cap2-MAPbI0.75 MAPbBr0.25 MAPbCl0.0 ,26125.010793286117,31727.270790245006,8065.253663640488,65917.53524717162
7,#7-A2-MAPIBr_3_1_10mM_75C_cap5-MAPbI0.75 MAPbBr0.25 MAPbCl0.0 ,27787.33925493372,26180.32902333056,3940.0334076460945,57907.701685910375
8,#8-D3-MAPIBr_3_1_5mM_100C_PTAI-MAPbI0.75 MAPbBr0.25 MAPbCl0.0 ,25986.22649304542,22646.022536688783,5245.131448052734,53877.38047778694
9,#9-C3-MAPIBr_3_1_10mM_75C_cap3-MAPbI0.75 MAPbBr0.25 MAPbCl0.0 ,30082.025627286494,32043.44021717945,7541.0448476320935,69666.51069209803
10,#10-B3-MAPIBr_3_1_10mM_75C_PTAI-MAPbI0.75 MAPbBr0.25 MAPbCl0.0 ,18255.72884684968,14727.849798173998,6745.337054121955,39728.91569914563
11,#11-A3-MAPIBr_3_1_5mM_75C_cap3-MAPbI0.75 MAPbBr0.25 MAPbCl0.0 ,27221.264521962923,22885.487118389858,11667.58484467386,61774.336485026644
12,#12-D4-MAPIBr_3_1_10mM_75C_cap4-MAPbI0.75 MAPbBr0.25 MAPbCl0.0 ,31691.09663738572,29900.355405382656,10031.086415716412,71622.53845848479
13,#13-C4-MAPIBr_3_1_5mM_75C_cap1-MAPbI0.75 MAPbBr0.25 MAPbCl0.0 ,25292.98698748157,31529.47848958211,7535.489791784841,64357.95526884853
14,#14-B4-MAPIBr_3_1_5mM_75C_cap4-MAPbI0.75 MAPbBr0.25 MAPbCl0.0 ,29141.488909891657,28627.374571372504,14052.106635283317,71820.97011654748
15,#15-A4-MAPIBr_3_1-MAPbI0.75 MAPbBr0.25 MAPbCl0.0 ,26888.01014459363,24362.880075895053,5660.080302413112,56910.9705229018
16,#16-D5-MAPIBr_3_1_5mM_75C_cap2-MAPbI0.75 MAPbBr0.25 MAPbCl0.0 ,23214.886166859702,28056.475518373132,4784.400039833761,56055.76172506659
17,#17-C5-MAPIBr_3_1_5mM_75C_cap5-MAPbI0.75 MAPbBr0.25 MAPbCl0.0 ,25727.079245838504,24094.29438916272,9378.263480207092,59199.637115208316
18,#18-B5-MAPIBr_3_1-MAPbI0.75 MAPbBr0.25 MAPbCl0.0 ,27187.40166560754,27816.53482338115,4824.315208733352,59828.25169772204
19,#19-A5-MAPIBr_3_1_10mM_100C_cap1-MAPbI0.75 MAPbBr0.25 MAPbCl0.0 ,25810.824702768346,28376.655993156444,6774.377462272665,60961.85815819746
20,#20-D6-MAPIBr_3_1_5mM_75C_PTAI-MAPbI0.75 MAPbBr0.25 MAPbCl0.0 ,17905.97886136179,14917.148308195,2334.7835576849875,35157.910727241775
21,#21-C6-MAPIBr_3_1-MAPbI0.75 MAPbBr0.25 MAPbCl0.0 ,27307.850516613427,27219.704359350613,3827.4719232629895,58355.02679922703
22,#22-B6-MAPIBr_3_1_10mM_100C_cap2-MAPbI0.75 MAPbBr0.25 MAPbCl0.0 ,26217.04084883562,25452.669644451656,8947.366662208406,60617.07715549568
23,#23-A6-MAPIBr_3_1_10mM_100C_cap5-MAPbI0.75 MAPbBr0.25 MAPbCl0.0 ,28627.648491573957,22057.967225169745,4692.05559281065,55377.67130955435
24,#24-D7---MAPbI0.75 MAPbBr0.25 MAPbCl0.0 ,434.9948268969438,311.56867207976603,1394.840911573115,2141.4044105498247
25,#25-C7-MAPIBr_3_1_10mM_100C_cap3-MAPbI0.75 MAPbBr0.25 MAPbCl0.0 ,30948.44337979599,27755.893125093506,2407.813550890899,61112.150055780396
26,#26-B7-MAPIBr_3_1_10mM_100C_PTAI-MAPbI0.75 MAPbBr0.25 MAPbCl0.0 ,16456.77841171829,11891.147249837293,4699.2640888614615,33047.18975041705
27,#27-A7-MAPIBr_3_1_5mM_100C_cap3-MAPbI0.75 MAPbBr0.25 MAPbCl0.0 ,26275.745138977363,20529.507153650808,10487.261625811869,57292.51391844003
