,Sample,Red,Green,Blue,Merit
0,#0-D1-MAPIBr_1_0_10mM_75C_cap4-MAPbI1.0 MAPbBr0.0 MAPbCl0.0 ,31563.30817198996,33314.606412631634,4797.9320971560255,69675.84668177762
1,#1-C1-MAPIBr_1_0_5mM_75C_cap1-MAPbI1.0 MAPbBr0.0 MAPbCl0.0 ,34850.62765168475,37605.542546290235,4860.228981043841,77316.39917901883
2,#2-B1-MAPIBr_1_0_5mM_75C_cap4-MAPbI1.0 MAPbBr0.0 MAPbCl0.0 ,35878.795137752866,37148.87064422838,9846.52417663483,82874.18995861607
3,#3-A1---MAPbI1.0 MAPbBr0.0 MAPbCl0.0 ,2392.9528018542546,1233.8540490600628,1851.002531635647,5477.8093825499645
4,#4-D2-MAPIBr_1_0_5mM_75C_cap2-MAPbI1.0 MAPbBr0.0 MAPbCl0.0 ,33110.612495643065,31652.82113175884,6855.131993999941,71618.56562140185
5,#5-C2-MAPIBr_1_0_5mM_75C_cap5-MAPbI1.0 MAPbBr0.0 MAPbCl0.0 ,25325.146467779865,27334.615646786293,9388.406193938376,62048.16830850454
6,#6-B2-MAPIBr_1_0-MAPbI1.0 MAPbBr0.0 MAPbCl0.0 ,25197.99401430214,27061.593930497205,10414.799106736602,62674.38705153595
7,#7-A2-MAPIBr_1_0_10mM_100C_cap1-MAPbI1.0 MAPbBr0.0 MAPbCl0.0 ,25449.494298936035,24937.202138529887,3025.291290517714,53411.98772798364
8,#8-D3-MAPIBr_1_0_5mM_75C_PTAI-MAPbI1.0 MAPbBr0.0 MAPbCl0.0 ,10730.857749341865,9565.570852986497,2999.858629604915,23296.28723193328
9,#9-C3-MAPIBr_1_0-MAPbI1.0 MAPbBr0.0 MAPbCl0.0 ,25016.641846917726,25815.07632747713,9085.858419825523,59917.57659422038
10,#10-B3-MAPIBr_1_0_10mM_100C_cap2-MAPbI1.0 MAPbBr0.0 MAPbCl0.0 ,40612.0776239373,40936.767428400235,7779.66738092618,89328.5124332637
11,#11-A3-MAPIBr_1_0_10mM_100C_cap5-MAPbI1.0 MAPbBr0.0 MAPbCl0.0 ,26615.224548536815,24235.75843462197,6836.57146117279,57687.554444331574
12,#12-D4-MAPIBr_1_0-MAPbI1.0 MAPbBr0.0 MAPbCl0.0 ,33020.30873159011,35071.88792408099,2992.1600565736876,71084.35671224479
13,#13-C4-MAPIBr_1_0_10mM_100C_cap3-MAPbI1.0 MAPbBr0.0 MAPbCl0.0 ,41316.68636967138,40522.501515526594,8828.134207444831,90667.3220926428
14,#14-B4-MAPIBr_1_0_10mM_100C_PTAI-MAPbI1.0 MAPbBr0.0 MAPbCl0.0 ,14415.474870872788,13914.894691864545,5444.890705376055,33775.26026811339
15,#15-A4-MAPIBr_1_0_5mM_100C_cap3-MAPbI1.0 MAPbBr0.0 MAPbCl0.0 ,44248.31417180096,44191.013734219356,9654.295670180156,98093.62357620048
16,#16-D5-MAPIBr_1_0_10mM_100C_cap4-MAPbI1.0 MAPbBr0.0 MAPbCl0.0 ,33088.94142560267,33061.51963969683,5758.13568293748,71908.59674823697
17,#17-C5-MAPIBr_1_0_5mM_100C_cap1-MAPbI1.0 MAPbBr0.0 MAPbCl0.0 ,35945.08893391694,36731.25157616955,3913.2748092149395,76589.61531930143
18,#18-B5-MAPIBr_1_0_5mM_100C_cap4-MAPbI1.0 MAPbBr0.0 MAPbCl0.0 ,39413.11545227804,36422.13146354432,16606.857146043636,92442.104061866
19,#19-A5-MAPIBr_1_0_10mM_75C_cap1-MAPbI1.0 MAPbBr0.0 MAPbCl0.0 ,31667.72816966087,30482.592000267483,13989.002134218523,76139.32230414687
20,#20-D6-MAPIBr_1_0_5mM_100C_cap2-MAPbI1.0 MAPbBr0.0 MAPbCl0.0 ,34158.38471156652,32383.373041806768,2710.544866021877,69252.30261939517
21,#21-C6-MAPIBr_1_0_5mM_100C_cap5-MAPbI1.0 MAPbBr0.0 MAPbCl0.0 ,26392.007948392373,26411.242729577683,3747.203970324099,56550.45464829415
22,#22-B6-MAPIBr_1_0_10mM_75C_cap2-MAPbI1.0 MAPbBr0.0 MAPbCl0.0 ,29173.071862405603,28212.17345252831,8394.156242768857,65779.40155770277
23,#23-A6-MAPIBr_1_0_10mM_75C_cap5-MAPbI1.0 MAPbBr0.0 MAPbCl0.0 ,25692.735007670814,24772.145576987794,11594.713918474818,62059.59450313343
24,#24-D7-MAPIBr_1_0_5mM_100C_PTAI-MAPbI1.0 MAPbBr0.0 MAPbCl0.0 ,8288.473548542288,6889.469495805023,2553.6507161417917,17731.593760489104
25,#25-C7-MAPIBr_1_0_10mM_75C_cap3-MAPbI1.0 MAPbBr0.0 MAPbCl0.0 ,25067.22615055169,23896.647801952855,4420.443288751047,53384.31724125559
26,#26-B7-MAPIBr_1_0_10mM_75C_PTAI-MAPbI1.0 MAPbBr0.0 MAPbCl0.0 ,3228.23652057709,2207.5224438226533,961.4787798600204,6397.2377442597635
27,#27-A7-MAPIBr_1_0_5mM_75C_cap3-MAPbI1.0 MAPbBr0.0 MAPbCl0.0 ,24864.889455125354,22663.910218909787,7186.268213755206,54715.06788779034
