,Sample,Red,Green,Blue,Merit
0,#0-D1-MAPIBr_3_1_10mM_100C_cap1-MAPbI0.75 MAPbBr0.25 MAPbCl0.0 ,25929.698035163885,32474.70432366947,5204.956071999841,63609.35843083319
1,#1-C1-MAPIBr_3_1_10mM_100C_cap2-MAPbI0.75 MAPbBr0.25 MAPbCl0.0 ,27846.43871003411,35368.73137241408,4055.059289538173,67270.22937198635
2,#2-B1-MAPIBr_3_1_10mM_100C_cap5-MAPbI0.75 MAPbBr0.25 MAPbCl0.0 ,26286.25933398249,24412.186552339153,3829.119053878438,54527.564940200085
3,#3-A1-MAPIBr_3_1_10mM_100C_cap8-MAPbI0.75 MAPbBr0.25 MAPbCl0.0 ,29972.853253449983,31623.927049067683,2197.631493180291,63794.41179569796
4,#4-D2-MAPIBr_3_1_10mM_100C_cap4-MAPbI0.75 MAPbBr0.25 MAPbCl0.0 ,29884.556081830273,28658.64039372336,8972.322442713239,67515.51891826687
5,#5-C2-MAPIBr_3_1_10mM_100C_cap5-MAPbI0.75 MAPbBr0.25 MAPbCl0.0 ,27500.359437959713,23822.03220208238,5273.988161148767,56596.37980119086
6,#6-B2-MAPIBr_3_1_10mM_100C_cap8-MAPbI0.75 MAPbBr0.25 MAPbCl0.0 ,35959.418700728485,35233.071528256434,4968.133854290494,76160.62408327541
7,#7-A2-MAPIBr_3_1_10mM_100C_PTAI-MAPbI0.75 MAPbBr0.25 MAPbCl0.0 ,14380.157813792788,10646.61404270873,5151.81081436483,30178.582670866348
8,#8-D3-MAPIBr_3_1-MAPbI0.75 MAPbBr0.25 MAPbCl0.0 ,25559.06099808897,25804.262236676772,4577.09335460757,55940.416589373315
9,#9-C3-MAPIBr_3_1_10mM_100C_cap10-MAPbI0.75 MAPbBr0.25 MAPbCl0.0 ,24016.562302746028,28868.98928466148,4295.993866640696,57181.5454540482
10,#10-B3-MAPIBr_3_1_10mM_100C_PTAI-MAPbI0.75 MAPbBr0.25 MAPbCl0.0 ,13413.736351829715,11452.882655909203,3934.8001406372546,28801.419148376175
11,#11-A3-MAPIBr_3_1-MAPbI0.75 MAPbBr0.25 MAPbCl0.0 ,29198.188498715917,25412.769276559,5280.029774553743,59890.98754982866
12,#12-D4-MAPIBr_3_1_10mM_100C_cap10-MAPbI0.75 MAPbBr0.25 MAPbCl0.0 ,23694.864582233426,27963.336349406392,2945.997243218014,54604.19817485783
13,#13-C4-MAPIBr_3_1-MAPbI0.75 MAPbBr0.25 MAPbCl0.0 ,26333.498725274,25519.568145446487,5250.199680459452,57103.26655117994
14,#14-B4-MAPIBr_3_1-MAPbI0.75 MAPbBr0.25 MAPbCl0.0 ,25960.17401420965,25178.284455485664,5193.563282768531,56332.02175246384
15,#15-A4-MAPIBr_3_1_10mM_100C_cap3-MAPbI0.75 MAPbBr0.25 MAPbCl0.0 ,30114.79951331683,25419.295117508915,8807.193592085454,64341.2882229112
16,#16-D5-MAPIBr_3_1-MAPbI0.75 MAPbBr0.25 MAPbCl0.0 ,27702.83140287694,24769.78466566355,3724.346104604724,56196.962173145206
17,#17-C5-MAPIBr_3_1_10mM_100C_cap9-MAPbI0.75 MAPbBr0.25 MAPbCl0.0 ,27286.216960227874,23071.426444781675,6692.489201445171,57050.13260645472
18,#18-B5-MAPIBr_3_1_10mM_100C_cap3-MAPbI0.75 MAPbBr0.25 MAPbCl0.0 ,26441.88461854539,23692.619320358284,9876.693378190908,60011.197317094586
19,#19-A5-MAPIBr_3_1_10mM_100C_cap7-MAPbI0.75 MAPbBr0.25 MAPbCl0.0 ,21346.89688043471,26790.326783906137,6853.669076391189,54990.89274073204
20,#20-D6-MAPIBr_3_1_10mM_100C_cap9-MAPbI0.75 MAPbBr0.25 MAPbCl0.0 ,27414.13835401018,23236.170199733577,3814.4506527703575,54464.759206514114
21,#21-C6-MAPIBr_3_1_10mM_100C_cap6-MAPbI0.75 MAPbBr0.25 MAPbCl0.0 ,30318.823555549978,28877.815063820166,6441.753314345878,65638.39193371602
22,#22-B6-MAPIBr_3_1_10mM_100C_cap7-MAPbI0.75 MAPbBr0.25 MAPbCl0.0 ,19625.950600188065,25868.628766649137,7157.716822735438,52652.29618957264
23,#23-A6-MAPIBr_3_1_10mM_100C_cap1-MAPbI0.75 MAPbBr0.25 MAPbCl0.0 ,26639.411641173843,26116.41530834336,6119.7051252048095,58875.53207472201
24,#24-D7-MAPIBr_3_1_10mM_100C_cap6-MAPbI0.75 MAPbBr0.25 MAPbCl0.0 ,30074.108707337058,28612.214556657487,4161.746082899165,62848.06934689371
25,#25-C7-MAPIBr_3_1-MAPbI0.75 MAPbBr0.25 MAPbCl0.0 ,26235.414246075765,22802.171418589252,3811.3634761185904,52848.9491407836
26,#26-B7-MAPIBr_3_1_10mM_100C_cap2-MAPbI0.75 MAPbBr0.25 MAPbCl0.0 ,24544.741627032625,28140.092239450347,3537.8884035347505,56222.72227001772
27,#27-A7-MAPIBr_3_1_10mM_100C_cap4-MAPbI0.75 MAPbBr0.25 MAPbCl0.0 ,25157.55419731158,25136.023287442797,11065.277673116734,61358.85515787111
