,Sample,Red,Green,Blue,Merit
0,#0-D1-MAPIBr_1_3_10mM_100C_cap1-MAPbI0.25 MAPbBr0.75 MAPbCl0.0 ,12293.951008853488,46801.673238697316,34047.738978277994,93143.3632258288
1,#1-C1-MAPIBr_1_3_10mM_100C_cap2-MAPbI0.25 MAPbBr0.75 MAPbCl0.0 ,5255.674654040803,52384.581132736756,53190.635971844684,110830.89175862225
2,#2-B1-MAPIBr_1_3_10mM_100C_cap5-MAPbI0.25 MAPbBr0.75 MAPbCl0.0 ,1601.3340007604304,27842.33168656054,5705.915048782204,35149.58073610318
3,#3-A1-MAPIBr_1_3_10mM_100C_cap8-MAPbI0.25 MAPbBr0.75 MAPbCl0.0 ,5969.964300865948,43603.30910250025,20409.99034232503,69983.26374569122
4,#4-D2-MAPIBr_1_3_10mM_100C_cap4-MAPbI0.25 MAPbBr0.75 MAPbCl0.0 ,12702.058182824087,43145.67914472853,28749.39418746392,84597.13151501655
5,#5-C2-MAPIBr_1_3_10mM_100C_cap5-MAPbI0.25 MAPbBr0.75 MAPbCl0.0 ,875.1567246905743,28272.41471520846,5749.28452321313,34896.85596311216
6,#6-B2-MAPIBr_1_3_10mM_100C_cap8-MAPbI0.25 MAPbBr0.75 MAPbCl0.0 ,6263.871600325288,45461.776492297075,25592.548816072693,77318.19690869506
7,#7-A2-MAPIBr_1_3_10mM_100C_PTAI-MAPbI0.25 MAPbBr0.75 MAPbCl0.0 ,1797.8797927971837,15688.268626689844,5292.700169077804,22778.848588564833
8,#8-D3-MAPIBr_1_3-MAPbI0.25 MAPbBr0.75 MAPbCl0.0 ,14382.20694440868,43755.58866316642,27308.795216139108,85446.59082371421
9,#9-C3-MAPIBr_1_3_10mM_100C_cap10-MAPbI0.25 MAPbBr0.75 MAPbCl0.0 ,19909.654331986527,55831.666444327864,40614.38355297049,116355.70432928487
10,#10-B3-MAPIBr_1_3_10mM_100C_PTAI-MAPbI0.25 MAPbBr0.75 MAPbCl0.0 ,3109.2274554056366,15386.009099191928,2799.09257549609,21294.329130093654
11,#11-A3-MAPIBr_1_3-MAPbI0.25 MAPbBr0.75 MAPbCl0.0 ,2728.869459923477,32771.78913075721,11386.769623234644,46887.42821391534
12,#12-D4-MAPIBr_1_3_10mM_100C_cap10-MAPbI0.25 MAPbBr0.75 MAPbCl0.0 ,17395.91123341067,50120.31165890892,37062.91666746295,104579.13955978255
13,#13-C4-MAPIBr_1_3-MAPbI0.25 MAPbBr0.75 MAPbCl0.0 ,19029.420666003763,59900.50583792604,50131.50466901205,129061.43117294184
14,#14-B4-MAPIBr_1_3-MAPbI0.25 MAPbBr0.75 MAPbCl0.0 ,6007.532011760947,34947.95326752569,10979.350764193387,51934.83604348003
15,#15-A4-MAPIBr_1_3_10mM_100C_cap3-MAPbI0.25 MAPbBr0.75 MAPbCl0.0 ,2888.4836473316323,42287.22174524678,28501.08296099746,73676.78835357587
16,#16-D5-MAPIBr_1_3-MAPbI0.25 MAPbBr0.75 MAPbCl0.0 ,19839.010860098362,56247.28754000507,47120.88860907681,123207.18700918024
17,#17-C5-MAPIBr_1_3_10mM_100C_cap9-MAPbI0.25 MAPbBr0.75 MAPbCl0.0 ,2324.612640922341,13419.669612681306,3543.2275779839556,19287.509831587602
18,#18-B5-MAPIBr_1_3_10mM_100C_cap3-MAPbI0.25 MAPbBr0.75 MAPbCl0.0 ,18689.468011832167,60439.56875902981,44614.24427306283,123743.2810439248
19,#19-A5-MAPIBr_1_3_10mM_100C_cap7-MAPbI0.25 MAPbBr0.75 MAPbCl0.0 ,3488.794537869538,36306.99199923984,23821.174908390603,63616.96144549998
20,#20-D6-MAPIBr_1_3_10mM_100C_cap9-MAPbI0.25 MAPbBr0.75 MAPbCl0.0 ,4309.872612223061,17893.26927769839,7624.65278724296,29827.79467716441
21,#21-C6-MAPIBr_1_3_10mM_100C_cap6-MAPbI0.25 MAPbBr0.75 MAPbCl0.0 ,16398.806046054222,51857.63748511356,35486.21467735309,103742.65820852088
22,#22-B6-MAPIBr_1_3_10mM_100C_cap7-MAPbI0.25 MAPbBr0.75 MAPbCl0.0 ,9856.625027904458,50471.820838854495,41207.25628889364,101535.7021556526
23,#23-A6-MAPIBr_1_3_10mM_100C_cap1-MAPbI0.25 MAPbBr0.75 MAPbCl0.0 ,2643.713522397571,41661.89493949189,27499.710632484424,71805.31909437389
24,#24-D7-MAPIBr_1_3_10mM_100C_cap6-MAPbI0.25 MAPbBr0.75 MAPbCl0.0 ,12536.749501032424,41196.779595202155,28270.511079544627,82004.0401757792
25,#25-C7-MAPIBr_1_3-MAPbI0.25 MAPbBr0.75 MAPbCl0.0 ,10702.471702841473,40126.97179496502,28997.47647400561,79826.91997181211
26,#26-B7-MAPIBr_1_3_10mM_100C_cap2-MAPbI0.25 MAPbBr0.75 MAPbCl0.0 ,8419.333370732891,46319.32472270542,34293.47036479819,89032.1284582365
27,#27-A7-MAPIBr_1_3_10mM_100C_cap4-MAPbI0.25 MAPbBr0.75 MAPbCl0.0 ,8128.030465799004,31841.38714635981,19115.442752860232,59084.86036501905
